#  Teff(K)        Recent        Runaway        Maximum        Early        5ME Runaway   0.1ME Runaway
#                 Venus         Greenhouse     Greenhouse     Mars         Greenhouse    Greenhouse
     2600      1.464535E+00      9.128986E-01     2.227622E-01   2.002146E-01 9.802014E-01 8.108875E-01  
     2800      1.472673E+00      9.179523E-01     2.278484E-01   2.047898E-01 9.855325E-01 8.156160E-01  
     3000      1.479154E+00      9.219746E-01     2.329794E-01   2.094049E-01 9.897533E-01 8.194658E-01  
     3200      1.485049E+00      9.256346E-01     2.383101E-01   2.141992E-01 9.935856E-01 8.230279E-01  
     3400      1.491313E+00      9.295270E-01     2.439738E-01   2.192924E-01 9.976713E-01 8.268279E-01  
     3600      1.498782E+00      9.341725E-01     2.500825E-01   2.247854E-01 1.002572E+00 8.313253E-01  
     3800      1.508171E+00      9.400177E-01     2.567267E-01   2.307594E-01 1.008770E+00 8.369138E-01  
     4000      1.520079E+00      9.474349E-01     2.639755E-01   2.372766E-01 1.016667E+00 8.439216E-01  
     4200      1.534984E+00      9.567224E-01     2.718766E-01   2.443800E-01 1.026585E+00 8.526109E-01  
     4400      1.553244E+00      9.681043E-01     2.804565E-01   2.520932E-01 1.038765E+00 8.631782E-01  
     4600      1.575102E+00      9.817305E-01     2.897200E-01   2.604208E-01 1.053369E+00 8.757542E-01  
     4800      1.600679E+00      9.976767E-01     2.996507E-01   2.693478E-01 1.070478E+00 8.904038E-01  
     5000      1.629977E+00      1.015945E+00     3.102105E-01   2.788402E-01 1.090096E+00 9.071261E-01  
     5200      1.662881E+00      1.036462E+00     3.213403E-01   2.888448E-01 1.112142E+00 9.258545E-01  
     5400      1.699156E+00      1.059081E+00     3.329592E-01   2.992890E-01 1.136460E+00 9.464567E-01  
     5600      1.738447E+00      1.083582E+00     3.449653E-01   3.100811E-01 1.162809E+00 9.687344E-01  
     5800      1.780282E+00      1.109670E+00     3.572349E-01   3.211100E-01 1.190873E+00 9.924236E-01  
     6000      1.824069E+00      1.136976E+00     3.696230E-01   3.322455E-01 1.220252E+00 1.017195E+00  
     6200      1.869097E+00      1.165056E+00     3.819634E-01   3.433381E-01 1.250468E+00 1.042652E+00  
     6400      1.914537E+00      1.193392E+00     3.940684E-01   3.542190E-01 1.280962E+00 1.068334E+00  
     6600      1.959439E+00      1.221394E+00     4.057286E-01   3.647003E-01 1.311097E+00 1.093714E+00  
     6800      2.002738E+00      1.248396E+00     4.167136E-01   3.745747E-01 1.340153E+00 1.118199E+00  
     7000      2.043245E+00      1.273657E+00     4.267714E-01   3.836158E-01 1.367332E+00 1.141130E+00  
     7200      2.079656E+00      1.296364E+00     4.356285E-01   3.915779E-01 1.391755E+00 1.161784E+00  
